Tarih,imdi,Açılış,Yüksek,Düşük,Hac.,Fark 
18.07.2022,17.4624,17.3786,17.5369,17.2415,,0.36
15.07.2022,17.4,17.4254,17.4941,17.2486,,0.03
14.07.2022,17.395,17.4344,17.4891,17.2451,,-0.30
14.07.2022,17.4474,17.4669,17.5526,17.2856,,0.07
13.07.2022,17.4344,17.431,17.5111,17.369,,0.03
13.07.2022,17.4292,17.3317,17.486,17.1968,,0.30
12.07.2022,17.3778,17.2772,17.461,17.223,,0.35
12.07.2022,17.3164,17.3674,17.4119,17.2094,,0.10
11.07.2022,17.2993,17.3605,17.398,17.2245,,-0.43
11.07.2022,17.3742,17.2875,17.4223,17.2452,,0.58
08.07.2022,17.2733,17.2714,17.3286,17.09,,0.03
07.07.2022,17.2683,17.2229,17.3383,17.174,,-0.02
07.07.2022,17.2713,17.2057,17.3203,17.076,,0.23
06.07.2022,17.2309,17.2009,17.3288,17.1782,,0.02
06.07.2022,17.227,16.9768,17.2672,16.8021,,0.15
05.07.2022,17.2009,16.9786,17.2838,16.9433,,1.18
05.07.2022,16.9999,16.8344,17.0909,16.6891,,0.32
04.07.2022,16.9463,16.8124,17.0723,16.7717,,0.77
04.07.2022,16.8163,16.778,16.8546,16.5866,,0.31
01.07.2022,16.7642,16.6947,16.7858,16.5078,,0.02
30.06.2022,16.7613,16.6675,16.8022,16.6602,,0.37
30.06.2022,16.7,16.6435,16.7472,16.3557,,0.19
29.06.2022,16.6675,16.6421,16.7675,16.5347,,0.17
29.06.2022,16.6388,16.6715,16.712,16.328,,-0.02
28.06.2022,16.6417,16.5943,16.7146,16.5453,,-0.21
28.06.2022,16.6765,16.5566,16.6811,16.3693,,0.50
27.06.2022,16.5928,16.5517,16.689,16.5024,,0.21
27.06.2022,16.5585,16.8954,16.9231,15.9356,,-1.95
24.06.2022,16.8881,17.3555,17.3808,16.4765,,0.01
23.06.2022,16.886,17.3377,17.3828,16.4759,,-2.71
